Quantidade_Vertices;Tipo_Grafo;Custo_Dijkstra;Tempo_Dijkstra(s);Custo_Duan;Tempo_Duan(s);Custo_BellmanFord;Tempo_BellmanFord(s)
513;watts;92782.0;0.000354;92782.0;0.00012;92782.0;0.001427
514;barabasi;33728.0;0.000367;33728.0;0.000122;33728.0;0.000849
514;complete;1879.0;0.000399;2511.0;0.000259;1879.0;0.000652
514;erdos;85367.0;0.000374;85367.0;0.000118;85367.0;0.001126
514;regular;172387.0;0.000359;172387.0;0.0001;172387.0;0.000956
514;watts;145574.0;0.000344;145574.0;0.000106;145574.0;0.001674
515;barabasi;33253.0;0.000367;33253.0;0.000125;33253.0;0.000986
515;complete;1851.0;0.000337;2442.0;0.000255;1851.0;0.000622
515;erdos;72841.0;0.000379;72841.0;0.00012;72841.0;0.001117
515;regular;2645592.0;0.000358;2645592.0;8.5e-05;2645592.0;0.006569
515;watts;104657.0;0.000346;104657.0;0.000107;104657.0;0.001571
516;barabasi;35819.0;0.000372;35819.0;0.000127;35819.0;0.001382
516;complete;1921.0;0.000338;2461.0;0.000255;1921.0;0.000623
516;erdos;66498.0;0.000459;66498.0;0.000148;66498.0;0.001536
516;regular;100360.0;0.000346;100360.0;9.7e-05;100360.0;0.000852
516;watts;94693.0;0.000347;94693.0;0.000109;94693.0;0.001544
517;barabasi;27744.0;0.000367;27744.0;0.000126;27744.0;0.000861
517;complete;1852.0;0.000344;2366.0;0.000262;1852.0;0.000621
517;erdos;92669.0;0.000379;92669.0;0.000118;92669.0;0.001095
517;regular;2034526.0;0.000292;2034526.0;6.9e-05;2034526.0;0.005492
517;watts;119289.0;0.000345;119289.0;0.000107;119289.0;0.002002
518;watts;139546.0;0.000358;139546.0;0.000109;139546.0;0.001818
518;barabasi;26778.0;0.000372;26778.0;0.000126;26778.0;0.000993
518;complete;1962.0;0.000339;2502.0;0.00026;1962.0;0.000627
518;erdos;54630.0;0.000383;54630.0;0.00012;54630.0;0.00111
518;regular;171943.0;0.000444;171943.0;0.000105;171943.0;0.001012
519;barabasi;26498.0;0.000374;26498.0;0.000151;26498.0;0.000862
519;complete;1661.0;0.000349;2035.0;0.000256;1661.0;0.000629
519;erdos;53026.0;0.000388;53026.0;0.000119;53026.0;0.001332
519;regular;3242954.0;0.000358;3242954.0;8.3e-05;3242954.0;0.008442
519;watts;94778.0;0.000351;94778.0;0.000109;94778.0;0.001586
520;watts;86165.0;0.000352;86165.0;0.000109;86165.0;0.001559
520;barabasi;33114.0;0.000385;33114.0;0.000126;33114.0;0.001115
520;complete;2029.0;0.000355;2529.0;0.000263;2029.0;0.000631
520;erdos;58948.0;0.000379;58948.0;0.000121;58948.0;0.000875
520;regular;149790.0;0.000354;149790.0;9.5e-05;149790.0;0.000845
521;barabasi;32309.0;0.000382;32309.0;0.000127;32309.0;0.001005
521;complete;1888.0;0.000365;2533.0;0.00026;1888.0;0.000634
521;erdos;87045.0;0.000383;87045.0;0.000121;87045.0;0.001159
521;regular;2988142.0;0.000352;2988142.0;9.4e-05;2988142.0;0.008891
521;watts;136992.0;0.00039;136992.0;0.000109;136992.0;0.001738
522;barabasi;32472.0;0.000376;32562.0;0.000131;32472.0;0.001009
522;complete;2022.0;0.000362;2593.0;0.000275;2022.0;0.00063
522;erdos;68994.0;0.000486;68994.0;0.000153;68994.0;0.000999
522;regular;168679.0;0.000389;168679.0;0.000121;168679.0;0.000934
522;watts;112390.0;0.000355;112390.0;0.000109;112390.0;0.001466
523;barabasi;30818.0;0.000381;30818.0;0.000131;30818.0;0.000877
523;complete;1842.0;0.00038;2326.0;0.000265;1842.0;0.000638
523;erdos;106456.0;0.000389;106456.0;0.000125;106456.0;0.001137
523;regular;21236.0;2.4e-05;21236.0;1e-05;21236.0;0.00027
523;watts;97279.0;0.000402;97279.0;0.00014;97279.0;0.001659
524;watts;91933.0;0.000351;91933.0;0.00011;91933.0;0.001606
524;barabasi;39995.0;0.000387;39995.0;0.000127;39995.0;0.001149
524;complete;2010.0;0.000348;2585.0;0.000268;2010.0;0.000639
524;erdos;58816.0;0.000387;58816.0;0.000125;58816.0;0.001157
524;regular;167530.0;0.000374;167530.0;0.000102;167530.0;0.001174
525;barabasi;28944.0;0.00038;28944.0;0.000126;28944.0;0.001105
525;complete;1848.0;0.000352;2328.0;0.000263;1848.0;0.000643
525;erdos;66047.0;0.000496;66047.0;0.000156;66047.0;0.001271
525;regular;1112501.0;0.000255;1112501.0;6.7e-05;1112501.0;0.003358
525;watts;93945.0;0.000438;93945.0;0.000147;93945.0;0.001811
526;barabasi;34779.0;0.000386;34779.0;0.000127;34779.0;0.000887
526;complete;1886.0;0.000353;2453.0;0.00027;1886.0;0.000648
526;erdos;72548.0;0.000481;72548.0;0.000123;72548.0;0.001246
526;regular;158904.0;0.000456;158904.0;0.000104;158904.0;0.000978
526;watts;110834.0;0.000359;110834.0;0.000111;110834.0;0.001625
527;barabasi;34025.0;0.000385;34025.0;0.000135;34025.0;0.000888
527;complete;1952.0;0.000352;2521.0;0.000268;1952.0;0.000648
527;erdos;49892.0;0.000394;49892.0;0.000124;49892.0;0.001069
527;regular;3401632.0;0.000378;3401632.0;8.6e-05;3401632.0;0.008678
527;watts;112354.0;0.000368;112354.0;0.000111;112354.0;0.001364
528;barabasi;31981.0;0.000386;31981.0;0.000129;31981.0;0.001029
528;complete;1897.0;0.000359;2408.0;0.000274;1897.0;0.000662
528;erdos;67328.0;0.000392;67328.0;0.000122;67328.0;0.001274
528;regular;169912.0;0.000377;169912.0;0.00014;169912.0;0.001196
528;watts;83038.0;0.000371;83038.0;0.000141;83038.0;0.001698
529;watts;113152.0;0.000362;113152.0;0.000111;113152.0;0.001658
529;barabasi;27128.0;0.000385;27128.0;0.00013;27128.0;0.001034
529;complete;2060.0;0.000347;2569.0;0.000268;2060.0;0.00065
529;erdos;79831.0;0.000478;79831.0;0.000123;79831.0;0.001297
529;regular;2170934.0;0.000365;2170934.0;6.9e-05;2170934.0;0.005644
530;barabasi;30463.0;0.000396;30463.0;0.00013;30463.0;0.001175
530;complete;1684.0;0.000368;1982.0;0.000269;1684.0;0.00065
530;erdos;66748.0;0.000394;66748.0;0.000129;66748.0;0.001028
530;regular;103679.0;0.000406;103679.0;0.000128;103679.0;0.001281
530;watts;106765.0;0.000367;106765.0;0.000113;106765.0;0.001396
531;complete;1867.0;0.000361;2252.0;0.000268;1867.0;0.00066
531;erdos;60235.0;0.0004;60235.0;0.000123;60235.0;0.001274
531;regular;37701.0;3.6e-05;37701.0;1.3e-05;37701.0;0.000342
531;watts;112576.0;0.000365;112576.0;0.000113;112576.0;0.001791
531;barabasi;43097.0;0.000394;43097.0;0.000132;43097.0;0.001193
532;barabasi;32233.0;0.000393;32233.0;0.000135;32233.0;0.000903
532;complete;2071.0;0.000356;2500.0;0.000268;2071.0;0.000659
532;erdos;57410.0;0.000405;57410.0;0.000123;57410.0;0.001014
532;regular;167138.0;0.000415;167138.0;0.000108;167138.0;0.00104
532;watts;121798.0;0.000382;121798.0;0.000113;121798.0;0.001525
533;barabasi;37765.0;0.000393;37765.0;0.00013;37765.0;0.001185
533;complete;2091.0;0.000359;2635.0;0.00027;2091.0;0.00066
533;erdos;50085.0;0.000408;50085.0;0.000133;50085.0;0.001466
533;regular;3686503.0;0.000393;3686503.0;8.7e-05;3686503.0;0.009483
533;watts;107737.0;0.000363;107737.0;0.000114;107737.0;0.00141
534;barabasi;28054.0;0.000407;28054.0;0.000132;28054.0;0.001032
534;complete;1993.0;0.00036;2599.0;0.000281;1993.0;0.000661
534;erdos;83785.0;0.000402;83785.0;0.000124;83785.0;0.001164
534;regular;165581.0;0.000388;165581.0;0.000106;165581.0;0.001052
534;watts;131675.0;0.000367;131675.0;0.000112;131675.0;0.001528
535;barabasi;28542.0;0.000397;28542.0;0.000136;28542.0;0.000911
535;complete;2141.0;0.000353;2943.0;0.000282;2141.0;0.000532
535;erdos;71915.0;0.000403;71915.0;0.000126;71915.0;0.001201
535;regular;1386947.0;0.000236;1386947.0;5.6e-05;1386947.0;0.003916
535;watts;115809.0;0.000405;115809.0;0.000113;115809.0;0.001511
536;barabasi;35601.0;0.000398;35601.0;0.000132;35601.0;0.00106
536;complete;1789.0;0.000378;2205.0;0.000277;1789.0;0.000664
536;erdos;71373.0;0.0004;71373.0;0.000126;71373.0;0.001174
536;regular;158736.0;0.00049;158736.0;0.000166;158736.0;0.001087
536;watts;109267.0;0.000372;109267.0;0.000115;109267.0;0.001429
537;watts;91497.0;0.000373;91497.0;0.000116;91497.0;0.00167
537;barabasi;39157.0;0.000401;39157.0;0.000137;39157.0;0.001206
537;complete;1836.0;0.000387;2338.0;0.000281;1836.0;0.000667
537;erdos;69022.0;0.000404;69022.0;0.000141;69022.0;0.000924
537;regular;1331666.0;0.000241;1331666.0;5.8e-05;1331666.0;0.004136
538;barabasi;34187.0;0.000401;34187.0;0.000132;34187.0;0.001066
538;complete;2123.0;0.000362;2808.0;0.000286;2123.0;0.00067
538;erdos;81434.0;0.000409;81434.0;0.000128;81434.0;0.001093
538;regular;184664.0;0.000394;184664.0;0.000108;184664.0;0.001554
538;watts;109464.0;0.000382;109464.0;0.000114;109464.0;0.001567
539;barabasi;32097.0;0.000406;32097.0;0.000134;32097.0;0.001072
539;complete;1905.0;0.000369;2400.0;0.000286;1905.0;0.000954
539;erdos;99380.0;0.00041;99380.0;0.000131;99380.0;0.001194
539;regular;2209366.0;0.000309;2209366.0;7.2e-05;2209366.0;0.00608
539;watts;129568.0;0.000465;129568.0;0.000144;129568.0;0.002096
540;barabasi;28850.0;0.000481;28850.0;0.000144;28850.0;0.000933
540;complete;2515.0;0.000368;3094.0;0.000288;2515.0;0.000674
540;erdos;62414.0;0.000413;62414.0;0.000129;62414.0;0.001224
540;regular;182131.0;0.000397;182131.0;0.000109;182131.0;0.001354
540;watts;117892.0;0.000374;117892.0;0.00013;117892.0;0.001645
